"index","Voltage","state"
242,12.05,"32,1,1.5,0.5,32,1,1.5,0.5"
243,12.1,"32,1,1.5,0.5,32,1,1.5,0.5"
244,12.15,"32,1,1.5,0.5,32,1,1.5,0.5"
245,12.2,"32,1,1.5,0.5,32,1,1.5,0.5"
246,12.25,"32,1,1.5,0.5,32,1,1.5,0.5"
247,12.3,"32,1,1.5,0.5,32,1,1.5,0.5"
248,12.35,"32,1,1.5,0.5,32,1,1.5,0.5"
249,12.4,"32,1,1.5,0.5,32,1,1.5,0.5"
250,12.45,"32,1,1.5,0.5,32,1,1.5,0.5"
251,12.5,"32,1,1.5,0.5,32,1,1.5,0.5"
252,12.55,"32,1,1.5,0.5,32,1,1.5,0.5"
253,12.6,"32,1,1.5,0.5,32,1,1.5,0.5"
254,12.65,"32,1,1.5,0.5,32,1,1.5,0.5"
255,12.7,"32,1,1.5,0.5,32,1,1.5,0.5"
256,12.75,"32,1,1.5,0.5,32,1,1.5,0.5"
257,12.8,"32,1,1.5,0.5,32,1,1.5,0.5"
258,12.85,"32,1,1.5,0.5,32,1,1.5,0.5"
259,12.9,"32,1,1.5,0.5,32,1,1.5,0.5"
260,12.95,"32,1,1.5,0.5,32,1,1.5,0.5"
