"Field","state1","state2","mat_elem1","mat_elem2"
10.9,"31,8,7.5,0.5","28,12,11.5,1.5",-3.38830736005478,-13.4492040196543
10.85,"31,8,8.5,0.5","28,12,11.5,1.5",0.359597860092672,-13.3759470952417
10.85,"31,8,7.5,0.5","28,12,12.5,1.5",3.37287245291083,5.51649502857392
10.85,"31,8,8.5,0.5","28,12,12.5,1.5",0.359597860092672,5.51649502857392
11.45,"31,5,5.5,0.5","28,16,16.5,1.5",0.372955489933389,11.9920091599491
11,"31,16,15.5,0.5","28,3,3.5,2.5",-0.394677774696668,10.5382317732783
11,"31,16,16.5,0.5","28,3,3.5,2.5",3.03028043672863,10.5382317732783
11.35,"31,15,14.5,0.5","28,4,3.5,2.5",1.85604194119216,0.00305796195804087
11.35,"31,15,15.5,0.5","28,4,3.5,2.5",2.6303655392493,0.00305796195804087
11.3,"28,17,16.5,0.5","31,3,2.5,2.5",1.60848469650297,-4.00685131852425e-06
11.25,"28,17,17.5,0.5","31,3,2.5,2.5",-14.5713941100124,-4.05841653051914e-06
11.3,"28,16,15.5,0.5","31,4,3.5,2.5",1.66933158860845,0.000165339165829927
11.3,"28,16,16.5,0.5","31,4,3.5,2.5",-15.3863108882691,0.000165339165829927
11.1,"31,14,13.5,0.5","28,5,4.5,2.5",-3.18439441307053,0.00185504945428303
11.1,"31,14,14.5,0.5","28,5,4.5,2.5",-0.297235741480222,0.00185504945428303
10.85,"31,13,12.5,0.5","28,6,5.5,2.5",-3.15394610686835,-0.000911460343807101
10.85,"31,13,13.5,0.5","28,6,5.5,2.5",-0.325411518705373,-0.000911460343807101
11.4,"31,12,11.5,0.5","28,8,8.5,2.5",3.36674733757238,12.1421728717853
11.4,"31,12,12.5,0.5","28,8,8.5,2.5",0.35401619839641,12.1421728717853
11.45,"31,11,10.5,0.5","28,9,8.5,2.5",-3.42639919550654,0.00920044445735843
11.45,"31,11,11.5,0.5","28,9,8.5,2.5",-0.36415812610671,0.00920044445735843
11.3,"31,11,10.5,0.5","28,9,9.5,2.5",3.38000408439644,-11.6051097900071
11.25,"31,11,11.5,0.5","28,9,9.5,2.5",-0.358109847612962,-11.5464790782195
11.25,"31,10,9.5,0.5","28,10,9.5,2.5",3.40810367007188,-0.0137396062032192
11.25,"31,10,10.5,0.5","28,10,9.5,2.5",-0.363931190827199,-0.0137396062032192
11.15,"31,10,9.5,0.5","28,10,10.5,2.5",3.37702302067754,11.0647821760277
11.1,"31,10,10.5,0.5","28,10,10.5,2.5",-0.359328012598806,11.0073119725963
11.1,"31,9,8.5,0.5","28,11,10.5,2.5",3.40543977170333,0.0223542659190649
11.05,"31,9,9.5,0.5","28,11,10.5,2.5",-0.362142215315461,-0.0224297650343037
11,"31,9,8.5,0.5","28,11,11.5,2.5",-3.37435188405044,-10.5550606154799
11,"31,9,9.5,0.5","28,11,11.5,2.5",-0.360623834348467,-10.5550606154799
10.9,"31,8,7.5,0.5","28,12,11.5,2.5",-3.38830736005478,-0.0559437287537272
10.85,"31,8,8.5,0.5","28,12,11.5,2.5",0.359597860092672,-0.0564334749797867
10.9,"31,8,7.5,0.5","28,12,12.5,2.5",-3.38830736005478,-10.1077025447962
10.85,"31,8,8.5,0.5","28,12,12.5,2.5",0.359597860092672,-10.0529019012402
11.45,"31,5,5.5,0.5","28,16,15.5,2.5",0.372955489933389,8.99191775682395
11.45,"31,5,4.5,0.5","28,16,16.5,2.5",-3.63708790796446,0.00593180921906781
11.35,"31,5,5.5,0.5","28,16,16.5,2.5",0.371565006484684,0.00586667306233058
11.3,"28,18,17.5,1.5","31,3,2.5,0.5",4.46036870878853,-0.334393213104495
11.2,"28,18,18.5,1.5","31,3,2.5,0.5",-10.1962671237462,-0.33263328781926
11.1,"28,18,17.5,1.5","31,3,3.5,0.5",4.3638532860705,-0.338331081745597
11.05,"28,18,18.5,1.5","31,3,3.5,0.5",-10.0209377901884,-0.338749232449777
