"index","Voltage","state"
210,10.45,"33,30,29.5,3.5,28,2,2.5,1.5"
204,10.15,"33,30,30.5,1.5,28,2,2.5,1.5"
210,10.45,"33,30,30.5,2.5,28,2,2.5,1.5"
217,10.8,"33,30,30.5,3.5,28,2,2.5,1.5"
202,10.05,"33,31,31.5,3.5,28,2,2.5,1.5"
256,12.75,"33,27,26.5,0.5,28,2,2.5,2.5"
258,12.85,"33,27,26.5,1.5,28,2,2.5,2.5"
258,12.85,"33,27,27.5,0.5,28,2,2.5,2.5"
235,11.7,"33,28,27.5,0.5,28,2,2.5,2.5"
236,11.75,"33,28,27.5,1.5,28,2,2.5,2.5"
240,11.95,"33,28,27.5,2.5,28,2,2.5,2.5"
247,12.3,"33,28,27.5,3.5,28,2,2.5,2.5"
236,11.75,"33,28,28.5,0.5,28,2,2.5,2.5"
240,11.95,"33,28,28.5,1.5,28,2,2.5,2.5"
247,12.3,"33,28,28.5,2.5,28,2,2.5,2.5"
256,12.75,"33,28,28.5,3.5,28,2,2.5,2.5"
217,10.8,"33,29,28.5,0.5,28,2,2.5,2.5"
218,10.85,"33,29,28.5,1.5,28,2,2.5,2.5"
221,11,"33,29,28.5,2.5,28,2,2.5,2.5"
228,11.35,"33,29,28.5,3.5,28,2,2.5,2.5"
218,10.85,"33,29,29.5,0.5,28,2,2.5,2.5"
221,11,"33,29,29.5,1.5,28,2,2.5,2.5"
228,11.35,"33,29,29.5,2.5,28,2,2.5,2.5"
236,11.75,"33,29,29.5,3.5,28,2,2.5,2.5"
202,10.05,"33,30,29.5,1.5,28,2,2.5,2.5"
205,10.2,"33,30,29.5,2.5,28,2,2.5,2.5"
211,10.5,"33,30,29.5,3.5,28,2,2.5,2.5"
202,10.05,"33,30,30.5,0.5,28,2,2.5,2.5"
205,10.2,"33,30,30.5,1.5,28,2,2.5,2.5"
211,10.5,"33,30,30.5,2.5,28,2,2.5,2.5"
219,10.9,"33,30,30.5,3.5,28,2,2.5,2.5"
204,10.15,"33,31,31.5,3.5,28,2,2.5,2.5"
211,10.5,"31,16,15.5,0.5,28,3,2.5,0.5"
211,10.5,"31,16,15.5,1.5,28,3,2.5,0.5"
211,10.5,"31,16,15.5,2.5,28,3,2.5,0.5"
210,10.45,"31,16,15.5,3.5,28,3,2.5,0.5"
211,10.5,"31,16,16.5,0.5,28,3,2.5,0.5"
211,10.5,"31,16,16.5,1.5,28,3,2.5,0.5"
210,10.45,"31,16,16.5,2.5,28,3,2.5,0.5"
202,10.05,"31,16,16.5,3.5,28,3,2.5,0.5"
236,11.75,"31,17,16.5,0.5,28,3,2.5,0.5"
236,11.75,"31,17,16.5,1.5,28,3,2.5,0.5"
235,11.7,"31,17,16.5,2.5,28,3,2.5,0.5"
233,11.6,"31,17,16.5,3.5,28,3,2.5,0.5"
236,11.75,"31,17,17.5,0.5,28,3,2.5,0.5"
235,11.7,"31,17,17.5,1.5,28,3,2.5,0.5"
233,11.6,"31,17,17.5,2.5,28,3,2.5,0.5"
224,11.15,"31,17,17.5,3.5,28,3,2.5,0.5"
251,12.5,"31,18,18.5,3.5,28,3,2.5,0.5"
221,11,"31,16,15.5,0.5,28,3,2.5,1.5"
221,11,"31,16,15.5,1.5,28,3,2.5,1.5"
220,10.95,"31,16,15.5,2.5,28,3,2.5,1.5"
219,10.9,"31,16,15.5,3.5,28,3,2.5,1.5"
221,11,"31,16,16.5,0.5,28,3,2.5,1.5"
220,10.95,"31,16,16.5,1.5,28,3,2.5,1.5"
