"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
0,-57.468729786059,80.13672078814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.83513907983432,-10.1505675519508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-57.468729786059,0,0,0.118344948978398,-1.39359383935724e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54.4174014024724,0,0,-1.13970597195051,1.34208281375727e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80.13672078814,0,0,-0.159424736494291,1.17152777036603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.510387542222,0,0,0.224032119693339,-1.64629313772843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.118344948978398,-0.159424736494291,0,0,0.349644173088692,1.98093813483387e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.185173289333,-16.8637503399044,0,0,-1.76034211952927,-9.9733646470501e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1.39359383935724e-17,1.17152777036603,0,0,-0.0203916622763014,0.353193951133396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.39171236982363e-14,123.922750447356,0,0,0.102665237275623,-1.77821407132493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.349644173088692,-0.0203916622763014,0,0,161.335734883059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.501757743377,-8.60247720559266,0,0,50.4753579225895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.98093813483387e-17,0.353193951133396,0,0,-5.17484610914667,161.998307424131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35683472965426e-15,148.999275910396,0,0,-1.61899786022499,50.6826497924568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,161.335734883059,-5.17484610914667,0,0,158.118418034535,8.83202339313365e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5669985331274,-0.916286905168931,0,0,57.9095361660171,3.23465402994402e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,161.998307424131,0,0,-3.21421392018134,158.444772185739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6843172959088,0,0,-1.1771787219336,58.0290606196324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,158.118418034535,-3.21421392018134,0,0,154.025126430968,8.5856636416756e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6023819793001,-0.479786641242098,0,0,62.4948988785608,3.48358864248252e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,8.83202339313365e-15,158.444772185739,0,0,-2.16315477355964,154.207296957595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31835868563601e-15,23.6510969578143,0,0,-0.877688867815179,62.568813628083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
