"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168"
0,-40.2717528171779,56.1862440999416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7754173988713,-7.10432723919277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.94187262809672,2.94421034889969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10813454649724,-1.69743518463752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.741212873043132,1.14296133752291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543235635504908,-0.841634544590317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-40.2717528171779,0,0,0.428818692363321,-5.04963746266716e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.1640292939672,0,0,-1.03996504831986,1.22463095974629e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19016250953716,0,0,0.883114568193033,-1.03992864275524e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.81027226957883,0,0,-0.725536254530373,8.54369251304858e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70803267805307,0,0,0.605753627271053,-7.13316901498967e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.19155306838827,0,0,-0.515828444203198,6.07423762663519e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56.1862440999416,0,0,-0.164008690173639,1.2052128129229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0784714935747,0,0,0.193005011828673,-1.41829139034024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.56084056306837,0,0,-0.152228785689313,1.11864854730693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85265946874717,0,0,0.121388695259606,-0.892021091784711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.33312505677261,0,0,-0.0996963362263813,0.732615458938752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62451303719952,0,0,0.0840125229663136,-0.617363439813965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.428818692363321,-0.164008690173639,0,0,1.14475266518495,6.48569140845469e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.9113096641365,-12.2572424457103,0,0,-1.81470952060085,-1.02813876783597e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0642265967737,-6.74511550649724,0,0,1.49914130683159,8.49350972439653e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.6153318367026,1.63391784767203,0,0,-1.22088476672664,-6.91702415996812e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.70060912776184,-0.806296675488483,0,0,1.01524311615549,5.75194428997342e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.56841575893345,0.505886850510281,0,0,-0.862688893835434,-4.88763565884671e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-5.04963746266716e-17,1.2052128129229,0,0,-0.0667633312236724,1.1563748176195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0116652456448e-14,90.0719689367222,0,0,0.105836008496257,-1.83313343985808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.77765291280596e-15,49.5662737411583,0,0,-0.0874316965253943,1.51436140573926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36778586914372e-15,-12.006795025269,0,0,0.0712034455527892,-1.23327985371395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.71286255105207e-16,5.92504630874766,0,0,-0.0592101809393834,1.02555041712358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20205700441231e-16,-3.71749395400146,0,0,0.0503130380157826,-0.871447381264795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1.14475266518495,-0.0667633312236724,0,0,119.682484541526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.702979404308,-6.45632887015213,0,0,40.1352952307652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6160508919689,-3.59352106311154,0,0,-15.4447970304055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.1119846501508,0.823027658353768,0,0,8.83005392725762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82268165228525,-0.397906874417804,0,0,-5.96341277865319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.22653546561611,0.246496554060382,0,0,4.41428553308657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6.48569140845469e-17,1.1563748176195,0,0,-3.83881748151852,120.173995786459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27196934542062e-15,111.826896334772,0,0,-1.2873401947493,40.3001225987815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.49090859577415e-15,62.2416105937809,0,0,0.495392095726877,-15.5082256218593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.99526224181717e-16,-14.2552572030316,0,0,-0.283224111770062,8.86631713498797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86544701930865e-16,6.89194923172562,0,0,0.191276554058015,-5.98790328325889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3945788108252e-16,-4.26944555523228,0,0,-0.1415882744893,4.43241409204964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,119.682484541526,-3.83881748151852,0,0,116.281102559763,6.49511569084185e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3340021679422,-0.652213423631326,0,0,46.3870393100967,2.59104171049512e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.82706245860011,0.218978130458176,0,0,-17.3668639172589,-9.70061238211343e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61181283734655,-0.115848950772477,0,0,9.79322486974671,5.47020342215478e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.31356377711099,0.0742075927501335,0,0,-6.55215385978503,-3.65983779020564e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6470718686562,-0.0528298548190732,0,0,4.81576542020641,2.68994297918016e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,120.173995786459,0,0,-2.36374954383866,116.521105090769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4175097150851,0,0,-0.942950665203006,46.4827814951571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.85509979406418,0,0,0.353031711590719,-17.4027088757606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62664580668998,0,0,-0.199075604797228,9.81343794567833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.32306510570286,0,0,0.133191467541063,-6.56567741155117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65383605263649,0,0,-0.0978943531206756,4.82570509109135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,116.281102559763,-2.36374954383866,0,0,111.981356432684,6.24206116721167e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3904576084456,-0.333183430861934,0,0,50.5401714272087,2.81720860953889e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.43389357997888,0.110459594793931,0,0,-18.719724532443,-1.04347428257046e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83059337856258,-0.0575399928284245,0,0,10.4580461134218,5.82952069961229e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.78946384631447,0.0363760254876124,0,0,-6.94196813826272,-3.86958964601567e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26022092743059,-0.0256176332763873,0,0,5.06844475761171,2.82525084598918e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
